city,lat,lng
Cobden,37.5335,-89.2545
Richton Park,41.4822,-87.7352
Thawville,40.6733,-88.1134
Berkeley,41.8891,-87.9114
Braceville,41.228,-88.2464
El Dara,39.6227,-90.9912
Dowell,37.9397,-89.239
Raritan,40.6959,-90.8253
Seatonville,41.3647,-89.274
Southern View,39.756,-89.6511
Blandinsville,40.5542,-90.8681
Irvington,38.4386,-89.1601
O'Fallon,38.5976,-89.9156
Florence,39.6286,-90.6106
Good Hope,40.5575,-90.6755
Johnsburg,42.384,-88.2475
Maroa,40.0366,-88.9561
Hindsboro,39.6847,-88.1347
Pearl,39.4597,-90.6237
Petersburg,40.0143,-89.8455
Chestnut,40.0538,-89.1866
Carol Stream,41.9182,-88.1308
Diamond,41.2852,-88.2506
St. Charles,41.9193,-88.311
Inverness,42.1152,-88.1019
Hoffman,38.5404,-89.2644
Macomb,40.4721,-90.6818
Orland Hills,41.5905,-87.8413
Lemont,41.6697,-87.9828
Thebes,37.214,-89.4544
Thomasboro,40.2439,-88.1877
White Heath,40.087,-88.5115
Blue Island,41.6578,-87.6812
Robinson,39.0089,-87.7333
Morton Grove,42.0423,-87.789
Belleville,38.5165,-89.99
Browns,38.3775,-87.9831
Dalzell,41.3553,-89.1763
Elsah,38.954,-90.3554
Sandwich,41.6496,-88.6177
Warrenville,41.821,-88.1857
Countryside,41.7741,-87.8752
Downers Grove,41.7949,-88.017
Plano,41.6757,-88.5294
Kempton,40.9355,-88.2362
Oak Forest,41.6055,-87.7527
North Pekin,40.6113,-89.6226
Woodland,40.7137,-87.7303
Auburn,39.5765,-89.7441
Wyanet,41.3606,-89.5831
Wheeling,42.1308,-87.924
Thomson,41.9726,-90.1117
Menominee,42.4747,-90.5428
Oak Grove,41.412,-90.5742
Olmsted,37.1827,-89.0849
West City,37.9962,-88.947
Humboldt,39.6047,-88.32
Hinckley,41.7714,-88.6397
St. Francisville,38.5919,-87.6474
Odin,38.6159,-89.0541
Chicago,41.8373,-87.6862
Pleasant Plains,39.8746,-89.9186
La Moille,41.5301,-89.2833
Minooka,41.4507,-88.2792
White City,39.0716,-89.7637
Rutland,40.9838,-89.0413
Genoa,42.0929,-88.6966
Darmstadt,38.319,-89.7288
Energy,37.7741,-89.0246
Gilberts,42.1096,-88.3716
Gifford,40.3079,-88.0214
Crainville,37.7509,-89.06
Hazel Crest,41.5732,-87.6899
Orient,37.9176,-88.9773
West Point,40.2556,-91.1836
Perry,39.7823,-90.7469
Quincy,39.9335,-91.3798
Sauget,38.5845,-90.1611
Broadview,41.8584,-87.8562
Greenup,39.2484,-88.1598
Matherville,41.2596,-90.6055
St. Elmo,39.0228,-88.8513
Fairview Heights,38.5974,-90.0052
Antioch,42.4742,-88.0721
Grand Tower,37.6343,-89.5013
Meredosia,39.8311,-90.5571
Peoria Heights,40.7466,-89.5701
Grandwood Park,42.3929,-87.9871
Kaskaskia,37.9213,-89.9163
Tovey,39.5883,-89.4486
Stewardson,39.2638,-88.6303
Hebron,42.4646,-88.4343
Creal Springs,37.6198,-88.8375
Crossville,38.1625,-88.0643
Arlington,41.4717,-89.2482
Assumption,39.518,-89.0478
Yates City,40.7777,-90.014
Bowen,40.2321,-91.0633
Willow Springs,41.7335,-87.8859
Grand Detour,41.9011,-89.4137
Green Oaks,42.2954,-87.9116
Table Grove,40.365,-90.4252
Port Barrington,42.2439,-88.1942
Kangley,41.148,-88.8722
East Hazel Crest,41.5758,-87.6503
Venedy,38.3966,-89.6456
Dana,40.9565,-88.95
Golconda,37.3622,-88.4872
Campbell Hill,37.9298,-89.551
Bethalto,38.9014,-90.0467
Flanagan,40.8771,-88.8597
Johnston City,37.8213,-88.9293
Fairbury,40.746,-88.5162
Wamac,38.4973,-89.1456
Coalton,39.2848,-89.303
Rochester,39.749,-89.5459
Lerna,39.4179,-88.2884
Cooksville,40.5426,-88.7144
Rapids City,41.5788,-90.3394
Dayton,41.3856,-88.7959
Mount Morris,42.0487,-89.4295
Brooklyn,38.6544,-90.1679
Alpha,41.1917,-90.3802
Pingree Grove,42.0857,-88.4362
Omaha,37.8901,-88.3053
Norris,40.6258,-90.0321
Huntley,42.16,-88.433
Pekin,40.5677,-89.6263
Chester,37.92,-89.826
Golf,42.0586,-87.785
Hillside,41.8674,-87.9019
Annawan,41.3959,-89.8887
Ridge Farm,39.8957,-87.652
Roselle,41.9807,-88.0862
Justice,41.7495,-87.8345
Wayne,41.9493,-88.2583
