year,county,candidate,party,candidatevotes
2000,Rio Grande,George W. Bush,republican,3111.0
2000,Routt,Al Gore,democrat,4208.0
2000,Routt,George W. Bush,republican,4472.0
2000,Saguache,Al Gore,democrat,1145.0
2000,Saguache,George W. Bush,republican,1078.0
2000,San Juan,Al Gore,democrat,149.0
2000,San Juan,George W. Bush,republican,210.0
2000,San Miguel,Al Gore,democrat,1598.0
2000,San Miguel,George W. Bush,republican,1043.0
2000,Sedgwick,Al Gore,democrat,384.0
2000,Sedgwick,George W. Bush,republican,877.0
2000,Summit,Al Gore,democrat,5304.0
2000,Summit,George W. Bush,republican,4497.0
2000,Teller,Al Gore,democrat,2750.0
2000,Teller,George W. Bush,republican,6477.0
2000,Washington,Al Gore,democrat,477.0
2000,Washington,George W. Bush,republican,1878.0
2000,Weld,Al Gore,democrat,23436.0
2000,Weld,George W. Bush,republican,37409.0
2000,Yuma,Al Gore,democrat,1082.0
2000,Yuma,George W. Bush,republican,3156.0
2000,Fairfield,Al Gore,democrat,193769.0
2000,Fairfield,George W. Bush,republican,159659.0
2000,Hartford,Al Gore,democrat,221167.0
2000,Hartford,George W. Bush,republican,127468.0
2000,Litchfield,Al Gore,democrat,41806.0
2000,Litchfield,George W. Bush,republican,39172.0
2000,Middlesex,Al Gore,democrat,43319.0
2000,Middlesex,George W. Bush,republican,29295.0
2000,New Haven,Al Gore,democrat,197928.0
2000,New Haven,George W. Bush,republican,122919.0
2000,New London,Al Gore,democrat,60449.0
2000,New London,George W. Bush,republican,41168.0
2000,Tolland,Al Gore,democrat,33554.0
2000,Tolland,George W. Bush,republican,24705.0
2000,Windham,Al Gore,democrat,24023.0
2000,Windham,George W. Bush,republican,16708.0
2000,Kent,Al Gore,democrat,22790.0
2000,Kent,George W. Bush,republican,24081.0
2000,New Castle,Al Gore,democrat,127539.0
2000,New Castle,George W. Bush,republican,78587.0
2000,Sussex,Al Gore,democrat,29739.0
2000,Sussex,George W. Bush,republican,34620.0
2000,District of Columbia,Al Gore,democrat,171923.0
2000,District of Columbia,George W. Bush,republican,18073.0
2000,Alachua,Al Gore,democrat,47365.0
2000,Alachua,George W. Bush,republican,34124.0
2000,Baker,Al Gore,democrat,2392.0
2000,Baker,George W. Bush,republican,5610.0
2000,Bay,Al Gore,democrat,18850.0
2000,Bay,George W. Bush,republican,38637.0
2000,Bradford,Al Gore,democrat,3075.0
2000,Bradford,George W. Bush,republican,5414.0
2000,Brevard,Al Gore,democrat,97318.0
2000,Brevard,George W. Bush,republican,115185.0
2000,Broward,Al Gore,democrat,387703.0
2000,Broward,George W. Bush,republican,177902.0
2000,Calhoun,Al Gore,democrat,2155.0
2000,Calhoun,George W. Bush,republican,2873.0
2000,Charlotte,Al Gore,democrat,29645.0
2000,Charlotte,George W. Bush,republican,35426.0
2000,Citrus,Al Gore,democrat,25525.0
2000,Citrus,George W. Bush,republican,29767.0
2000,Clay,Al Gore,democrat,14632.0
2000,Clay,George W. Bush,republican,41736.0
2000,Collier,Al Gore,democrat,29921.0
2000,Collier,George W. Bush,republican,60450.0
2000,Columbia,Al Gore,democrat,7047.0
